Name,Symbol,MarketCap(USD),Price,Volume (24h),Change (%1h),Change (%24h),Change (7d)
OMG Network,OMG,"$936,040,919",$6.67,"$393,460,831",1.38%,4.59%,-21.03%
KuCoin Token,KCS,"$934,469,838",$11.66,"$61,338,078",1.87%,7.03%,-20.65%
Paxos Standard,PAX,"$909,416,072",$0.9996,"$70,296,117",0.02%,0.06%,0.14%
Dent,DENT,"$855,110,427",$0.009094,"$265,510,129",1.71%,20.86%,-16.49%
Fantom,FTM,"$855,039,067",$0.336,"$65,839,491",4.46%,15.89%,-19.68%
IOST,IOST,"$829,922,908",$0.05044,"$425,063,700",1.30%,6.61%,-35.08%
Ren,REN,"$797,029,241",$0.7993,"$75,884,010",1.77%,5.06%,-16.68%
WazirX,WRX,"$795,945,235",$2.71,"$68,083,491",1.23%,8.00%,-18.83%
Voyager Token,VGX,"$780,923,261",$3.51,"$7,811,396",-1.77%,15.25%,-16.88%
Verge,XVG,"$784,263,546",$0.04768,"$92,382,943",6.74%,15.16%,-17.10%
Conflux Network,CFX,"$741,645,045",$0.8982,"$9,358,043",-1.41%,6.06%,-21.28%
HUSD,HUSD,"$700,733,781",$0.9997,"$807,284,342",0.04%,0.06%,0.17%
Curve DAO Token,CRV,"$696,995,254",$2.55,"$158,876,144",1.20%,4.81%,-22.79%
Venus,XVS,"$683,805,282",$71.08,"$111,314,128",-0.83%,14.78%,-8.87%
BTMX,BTMX,"$671,861,577",$0.8966,"$4,811,750",0.49%,-3.60%,-21.15%
1inch,1INCH,"$666,122,172",$4.25,"$84,271,198",0.85%,6.11%,-21.18%
renBTC,RENBTC,"$660,177,603","$52,325.46","$9,099,043",0.33%,4.05%,-7.49%
Livepeer,LPT,"$614,407,558",$29.03,"$46,370,129",1.62%,2.41%,-2.71%
Loopring,LRC,"$573,839,119",$0.4693,"$35,169,097",1.07%,6.04%,-24.98%
Nervos Network,CKB,"$564,512,766",$0.02274,"$30,287,514",3.92%,8.64%,-18.80%
VeThor Token,VTHO,"$564,919,139",$0.01628,"$78,551,730",1.49%,4.94%,-33.08%
Lisk,LSK,"$555,764,398",$4.35,"$70,465,888",3.66%,13.52%,-23.90%
MCO,MCO,"$538,503,312",$34.10,"$4,702,285",-0.28%,3.22%,4.29%
Kyber Network Crystal Legacy,KNC,"$537,814,469",$2.62,"$75,219,573",2.50%,6.91%,-13.57%
Bitcoin Standard Hashrate Token,BTCST,"$524,363,686",$61.95,"$27,509,357",0.24%,3.77%,-15.17%
Mdex,MDX,"$521,430,099",$2.73,"$229,307,510",0.41%,3.42%,-12.96%
Status,SNT,"$519,049,593",$0.1496,"$60,457,222",1.87%,8.62%,-34.08%
Storj,STORJ,"$516,914,376",$1.80,"$111,504,512",2.72%,4.35%,-12.02%
Ocean Protocol,OCEAN,"$494,983,482",$1.16,"$43,539,057",3.77%,7.03%,-20.01%
Quant,QNT,"$470,088,878",$38.94,"$5,125,265",0.34%,4.52%,-3.11%
Origin Protocol,OGN,"$460,347,929",$1.63,"$108,197,867",1.30%,8.30%,-17.19%
ZKSwap,ZKS,"$453,958,029",$2.30,"$33,552,967",-0.16%,3.52%,-17.16%
Energy Web Token,EWT,"$417,885,319",$13.90,"$4,265,812",1.63%,5.50%,-23.76%
MaidSafeCoin,MAID,"$418,104,099",$0.9239,"$2,800,463",1.22%,4.56%,-17.92%
Serum,SRM,"$396,156,762",$7.92,"$683,360,386",3.28%,27.15%,27.90%
Golem,GLM,"$391,805,841",$0.3918,"$12,487,987",2.67%,14.06%,-19.17%
Bitcoin Diamond,BCD,"$381,250,818",$2.04,"$8,698,058",-1.17%,3.72%,-25.64%
StormX,STMX,"$379,287,918",$0.04509,"$28,705,875",2.01%,8.89%,-18.93%
Reef,REEF,"$379,591,887",$0.03368,"$69,774,568",2.39%,7.88%,-10.15%
WINk,WIN,"$367,538,276",$0.001172,"$395,474,817",0.09%,2.82%,-22.96%
NKN,NKN,"$361,323,781",$0.6191,"$81,785,426",0.44%,10.04%,-8.75%
Augur,REP,"$356,938,363",$32.45,"$34,458,587",1.54%,9.50%,-27.10%
IoTeX,IOTX,"$356,341,664",$0.03695,"$34,125,402",2.51%,5.28%,-17.33%
Balancer,BAL,"$357,570,523",$51.49,"$80,490,493",1.51%,10.25%,-13.97%
Wootrade,WOO,"$350,508,851",$0.9316,"$48,493,215",-3.60%,14.69%,-5.54%
Ardor,ARDR,"$338,706,993",$0.339,"$9,477,041",3.55%,11.22%,-12.90%
TrustSwap,SWAP,"$327,542,747",$4.01,"$6,522,955",1.61%,6.87%,0.63%
Alpha Finance Lab,ALPHA,"$325,375,366",$1.30,"$46,112,893",0.35%,7.81%,-14.72%
Injective Protocol,INJ,"$322,070,300",$18.88,"$140,892,657",-2.45%,23.81%,45.70%
Aragon,ANT,"$322,462,479",$8.14,"$59,261,086",0.49%,6.56%,-7.92%
DODO,DODO,"$322,568,709",$2.92,"$38,641,415",2.02%,5.22%,-25.86%
TrueUSD,TUSD,"$320,787,930",$0.9993,"$110,314,892",0.03%,0.01%,0.10%
SingularityNET,AGI,"$318,011,677",$0.3665,"$4,553,899",1.57%,16.71%,-13.00%
MediBloc,MED,"$317,849,305",$0.1161,"$286,908",-0.87%,15.10%,-5.66%
FUNToken,FUN,"$314,845,456",$0.03057,"$9,785,348",1.72%,4.43%,-20.53%
SKALE Network,SKL,"$315,426,866",$0.4776,"$33,180,412",1.76%,4.94%,-26.89%
Civic,CVC,"$313,311,987",$0.4676,"$90,833,780",2.47%,9.13%,-17.94%
The Sandbox,SAND,"$313,329,913",$0.4562,"$59,653,178",2.61%,7.59%,-19.64%
Steem,STEEM,"$310,889,318",$0.83,"$14,446,353",1.02%,10.61%,-24.02%
Telcoin,TEL,"$305,457,507",$0.005958,"$7,099,464",1.57%,1.73%,-22.33%
Band Protocol,BAND,"$303,597,504",$14.81,"$135,913,650",3.42%,6.97%,-15.24%
Fetch.ai,FET,"$301,350,218",$0.4039,"$30,983,206",3.23%,5.92%,-26.96%
Numeraire,NMR,"$300,704,772",$61.22,"$24,305,131",2.05%,7.24%,-20.91%
Kin,KIN,"$298,401,864",$0.0001966,"$2,960,938",4.29%,7.52%,-20.11%
Komodo,KMD,"$292,882,136",$2.33,"$14,431,087",3.09%,13.70%,-21.56%
WAX,WAXP,"$290,651,190",$0.186,"$5,371,421",1.11%,12.56%,-11.70%
Gnosis,GNO,"$283,162,753",$188.20,"$2,477,787",1.01%,8.64%,9.51%
Velas,VLX,"$282,341,453",$0.1329,"$3,661,870",0.54%,-0.17%,-21.09%
Swipe,SXP,"$282,218,202",$3.29,"$421,432,816",2.75%,5.63%,-21.99%
BitShares,BTS,"$275,776,845",$0.09208,"$28,692,722",1.21%,5.54%,-26.68%
Kava.io,KAVA,"$269,489,583",$4.60,"$61,971,680",3.42%,7.00%,-16.50%
Orbs,ORBS,"$269,549,851",$0.1209,"$1,338,560",2.77%,9.86%,-22.84%
Haven Protocol,XHV,"$268,082,582",$18.89,"$2,026,738",1.42%,0.35%,-16.15%
Unibright,UBT,"$264,361,817",$1.76,"$4,029,629",3.02%,5.71%,-18.28%
Celer Network,CELR,"$264,521,384",$0.04804,"$45,919,004",3.75%,10.98%,-20.81%
Ampleforth,AMPL,"$263,429,338",$1.24,"$7,635,279",0.11%,10.96%,3.09%
Syntropy,NOIA,"$263,859,532",$0.7168,"$2,826,469",3.08%,13.89%,17.85%
JUST,JST,"$253,847,308",$0.1123,"$238,455,704",0.73%,7.12%,-28.00%
Neutrino USD,USDN,"$250,825,777",$0.9971,"$13,714,362",0.04%,0.42%,0.66%
Bytom,BTM,"$247,748,513",$0.1738,"$93,979,056",0.18%,6.84%,-29.57%
CyberVein,CVT,"$245,257,246",$0.2313,"$5,644,204",-1.07%,11.34%,-21.65%
ReddCoin,RDD,"$229,397,165",$0.007963,"$1,257,090",-4.16%,-1.35%,16.18%
GateToken,GT,"$240,872,624",$3.16,"$9,501,467",-0.02%,4.48%,-7.84%
Stratis,STRAX,"$238,460,562",$1.83,"$11,792,672",2.14%,21.77%,-21.42%
Badger DAO,BADGER,"$235,827,865",$27.41,"$19,716,126",1.79%,8.87%,-31.82%
Metal,MTL,"$233,478,613",$3.56,"$60,189,988",0.59%,8.47%,-3.28%
Wanchain,WAN,"$227,841,807",$1.35,"$14,449,040",1.62%,7.30%,-30.77%
Populous,PPT,"$227,201,172",$4.27,"$10,314,573",0.52%,12.42%,-29.50%
Uquid Coin,UQC,"$227,017,387",$22.70,"$9,595,107",-6.29%,-1.72%,-3.41%
ABBC Coin,ABBC,"$224,158,627",$0.2658,"$60,576,156",-1.75%,11.17%,85.84%
Ark,ARK,"$219,859,471",$1.71,"$4,577,373",1.34%,7.82%,-20.06%
Ontology Gas,ONG,"$218,897,710",$0.8506,"$11,627,897",4.77%,14.51%,-30.50%
Polymath,POLY,"$215,638,407",$0.3533,"$3,311,761",2.49%,11.89%,-7.31%
Travala.com,AVA,"$215,418,906",$4.32,"$11,192,933",3.52%,14.20%,-19.66%
Orchid,OXT,"$210,893,957",$0.5737,"$24,714,414",-0.15%,6.26%,-20.76%
Vai,VAI,"$209,863,216",$0.9818,"$4,639,365",0.09%,0.78%,9.70%
BORA,BORA,"$207,343,946",$0.243,"$50,904",1.18%,10.16%,6.03%
aelf,ELF,"$207,388,636",$0.3809,"$55,343,262",3.39%,15.79%,-18.43%
ZB Token,ZB,"$206,862,232",$0.4465,"$15,624,777",0.18%,5.14%,-9.59%
Metadium,META,"$206,103,469",$0.1655,"$180,512",-0.13%,13.90%,-12.80%
RSK Infrastructure Framework,RIF,"$203,781,991",$0.2826,"$2,293,775",0.39%,4.22%,-15.46%
Oasis Network,ROSE,"$202,361,158",$0.1349,"$15,300,974",0.68%,3.72%,-22.36%
Everipedia,IQ,"$199,435,498",$0.01992,"$5,301,723",2.10%,10.18%,-29.39%
OriginTrail,TRAC,"$197,310,559",$0.5528,"$1,253,680",0.50%,6.47%,-15.92%
COTI,COTI,"$196,212,089",$0.293,"$44,539,805",3.27%,4.93%,-6.11%
Hive,HIVE,"$194,162,308",$0.4851,"$10,703,560",2.13%,9.98%,-9.80%
Syscoin,SYS,"$192,670,252",$0.3153,"$4,070,408",2.47%,6.56%,-29.41%
Secret,SCRT,"$191,392,915",$2.75,"$2,714,936",1.85%,5.64%,-25.97%
